Id,Name,Sem


11,Abinash,sixth

12,Abinash,sixth

13,Abinash,Sixth

14,Abinash,sixth

15,Narayan,Sixth

17,aaaaa,aaaaa

37,Abinash,sixth

38,Dipesh,sixth

39,Abinash,sixth



58,Bibash,sixth
28,Abnas,sixth
24,Abnas,sixth
